"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2022","515.70","519.95","523.20","512.00","18.36M","-0.99%"
"01/19/2022","520.85","510.00","522.20","504.80","21.80M","1.97%"
"01/18/2022","510.80","527.90","528.50","507.15","19.35M","-2.70%"
"01/17/2022","525.00","514.80","526.90","512.00","27.94M","2.96%"
"01/14/2022","509.90","509.00","515.40","505.65","12.66M","-0.40%"
"01/13/2022","511.95","504.00","513.80","494.80","27.57M","0.93%"
"01/12/2022","507.25","505.85","511.85","503.50","16.26M","1.19%"
"01/11/2022","501.30","503.00","507.90","498.15","16.27M","-0.48%"
"01/10/2022","503.70","493.10","504.90","491.30","25.19M","2.67%"
"01/07/2022","490.60","490.05","495.50","483.75","15.53M","0.36%"
"01/06/2022","488.85","481.50","492.95","477.10","16.56M","-0.18%"
"01/05/2022","489.75","486.95","492.75","483.55","15.42M","0.03%"
"01/04/2022","489.60","496.80","499.00","484.05","24.10M","-1.61%"
"01/03/2022","497.60","493.50","500.85","492.00","32.75M","3.15%"
"12/31/2021","482.40","472.70","483.60","471.85","15.54M","2.55%"
"12/30/2021","470.40","472.55","476.40","468.60","11.92M","-1.18%"
"12/29/2021","476.00","478.75","481.60","474.25","10.26M","-0.87%"
"12/28/2021","480.20","475.20","482.80","472.65","22.86M","1.92%"
"12/27/2021","471.15","465.70","472.45","460.10","12.56M","0.76%"
"12/24/2021","467.60","474.90","474.90","460.00","15.49M","-1.01%"
"12/23/2021","472.35","476.00","478.00","470.95","12.12M","0.39%"
"12/22/2021","470.50","458.15","472.15","458.15","22.73M","3.73%"
"12/21/2021","453.60","452.10","460.90","449.85","18.84M","1.47%"
"12/20/2021","447.05","459.90","460.00","440.00","33.01M","-4.92%"
"12/17/2021","470.20","488.00","488.85","468.20","27.34M","-4.42%"
"12/16/2021","491.95","495.00","496.50","487.40","13.58M","0.06%"
"12/15/2021","491.65","487.80","497.70","487.25","16.26M","0.46%"
"12/14/2021","489.40","491.95","491.95","483.30","17.72M","-1.20%"
"12/13/2021","495.35","499.45","506.40","494.20","21.92M","0.18%"
"12/10/2021","494.45","487.75","496.80","486.55","14.57M","0.10%"
"12/09/2021","493.95","498.00","498.50","489.55","16.95M","0.01%"
"12/08/2021","493.90","484.50","495.95","483.50","20.58M","2.51%"
"12/07/2021","481.80","476.85","484.90","471.00","21.28M","3.12%"
"12/06/2021","467.20","480.10","480.90","466.00","17.47M","-2.69%"
"12/03/2021","480.10","480.00","484.70","477.30","20.95M","0.21%"
"12/02/2021","479.10","479.40","480.45","471.70","21.01M","0.81%"
"12/01/2021","475.25","467.85","478.40","463.55","28.26M","3.63%"
"11/30/2021","458.60","466.55","478.00","455.65","35.47M","-0.62%"
"11/29/2021","461.45","457.00","470.75","443.10","42.82M","0.27%"
"11/26/2021","460.20","486.00","486.75","458.00","51.79M","-6.61%"
"11/25/2021","492.75","490.80","495.15","486.50","15.34M","0.84%"
"11/24/2021","488.65","499.00","501.80","485.30","20.92M","-1.38%"
"11/23/2021","495.50","484.40","499.35","477.00","27.55M","1.93%"
"11/22/2021","486.10","512.25","512.25","478.40","40.04M","-4.63%"
"11/18/2021","509.70","531.45","534.20","501.30","47.20M","-3.86%"
"11/17/2021","530.15","520.25","536.70","520.25","48.46M","2.14%"
"11/16/2021","519.05","506.90","526.85","506.20","55.90M","2.69%"
"11/15/2021","505.45","506.25","514.90","504.50","18.02M","-0.32%"
"11/12/2021","507.05","506.95","509.55","497.35","20.73M","0.72%"
"11/11/2021","503.45","510.00","519.00","501.00","29.26M","-1.43%"
"11/10/2021","510.75","506.25","515.95","500.20","26.62M","0.22%"
"11/09/2021","509.65","505.00","520.65","503.50","50.46M","1.65%"
"11/08/2021","501.40","493.90","504.85","490.25","31.74M","2.39%"
"11/04/2021","489.70","489.80","493.55","488.00","5.53M","0.99%"
"11/03/2021","484.90","483.80","495.00","481.60","22.95M","-0.60%"
"11/02/2021","487.85","506.50","510.00","486.50","51.58M","0.44%"
"11/01/2021","485.70","486.45","489.70","469.80","34.32M","0.41%"
"10/29/2021","483.70","482.00","491.60","467.70","31.05M","0.55%"
"10/28/2021","481.05","493.90","493.90","478.55","25.18M","-3.38%"
"10/27/2021","497.90","505.75","506.55","496.00","30.36M","-2.11%"
"10/26/2021","508.65","483.50","510.00","483.25","58.03M","5.99%"
"10/25/2021","479.90","493.90","496.00","473.25","33.11M","-2.24%"
"10/22/2021","490.90","509.90","510.70","487.40","42.74M","-3.37%"
"10/21/2021","508.00","491.75","510.40","485.75","52.61M","4.33%"
"10/20/2021","486.90","481.80","497.00","471.25","55.44M","1.04%"
"10/19/2021","481.90","512.45","517.40","476.05","57.43M","-5.44%"
"10/18/2021","509.60","507.00","525.00","503.60","72.32M","2.41%"
"10/14/2021","497.60","530.00","530.00","492.00","103.63M","-1.83%"
"10/13/2021","506.90","462.90","523.85","462.90","197.95M","20.45%"
"10/12/2021","420.85","423.00","435.70","413.60","97.35M","1.23%"
"10/11/2021","415.75","390.15","420.90","388.00","113.41M","8.57%"
"10/08/2021","382.95","385.90","397.55","380.00","93.73M","1.71%"
"10/07/2021","376.50","341.10","383.00","339.25","163.24M","12.04%"
"10/06/2021","336.05","347.00","348.70","335.00","25.27M","-2.58%"
"10/05/2021","344.95","340.45","351.50","338.85","31.86M","0.86%"
"10/04/2021","342.00","336.80","343.25","335.15","29.55M","2.61%"
"10/01/2021","333.30","332.65","337.30","325.70","29.88M","-0.02%"
"09/30/2021","333.35","331.25","337.90","329.10","30.27M","0.94%"
"09/29/2021","330.25","325.00","333.00","324.00","19.74M","0.29%"
"09/28/2021","329.30","334.00","336.00","324.50","28.50M","-0.71%"
"09/27/2021","331.65","323.15","333.60","323.15","56.31M","4.31%"
"09/24/2021","317.95","325.10","326.95","316.05","28.90M","-1.10%"
"09/23/2021","321.50","313.20","324.00","313.20","52.70M","3.68%"
"09/22/2021","310.10","303.15","313.80","303.00","29.55M","2.70%"
"09/21/2021","301.95","298.60","302.70","293.10","19.44M","1.00%"
